Index(i),P_level(i),Tau_level(i),P_layer(i-1/2),Height_layer(i-1/2),T_layer(i-1/2),PWF_layer(i-1/2)   ,TWF_layer(i-1/2)  , log_e(P_level(i)/P_level(i-1))=delta(lnP)(i-1/2)
0,0.005,1,,,,,,
1,0.01606,1,0.00896,81.45132,195.01938,0,0,1.16689
2,0.03838,1,0.02483,74.31635,208.18756,0,0,0.8712
3,0.07688,1,0.05432,68.83647,219.99188,0,0,0.69471
4,0.13695,1,0.10261,64.38416,231.51196,0,0,0.57737
5,0.22441,1,0.17531,60.63483,242.05115,0,0,0.49386
6,0.3454,1,0.27841,57.39705,251.51303,0,0,0.43123
7,0.50637,1,0.41822,54.54866,259.68182,0.00001,0.00001,0.38256
8,0.71402,0.99999,0.6013,52.00706,266.02362,0.00001,0.00001,0.34364
9,0.97527,0.99998,0.83449,49.71297,269.7301,0.00003,0.00003,0.3118
10,1.29724,0.99997,1.12479,47.62325,268.96832,0.00005,0.00005,0.28528
11,1.6872,0.99995,1.47943,45.70483,264.48294,0.00008,0.00008,0.26283
12,2.15257,0.99992,1.90573,43.93237,259.13086,0.00013,0.00013,0.24359
13,2.7009,0.99987,2.4112,42.28556,254.16162,0.0002,0.0002,0.22692
14,3.33981,0.99981,3.00341,40.74819,249.61081,0.00029,0.00029,0.21233
15,4.07704,0.99972,3.69006,39.30693,245.39215,0.00042,0.00042,0.19946
16,4.92036,0.99961,4.47889,37.9508,241.49313,0.0006,0.0006,0.18801
17,5.87762,0.99946,5.37774,36.67055,237.88159,0.00083,0.00083,0.17777
18,6.95669,0.99928,6.39444,35.45842,234.47745,0.00112,0.00112,0.16855
19,8.16548,0.99904,7.53689,34.30776,231.3541,0.0015,0.0015,0.16021
20,9.51189,0.99873,8.81301,33.21282,229.19284,0.00198,0.00198,0.15263
21,11.00384,0.99836,10.2307,32.16868,227.89111,0.00259,0.00259,0.1457
22,12.64922,0.99789,11.79788,31.17099,226.70215,0.00334,0.00334,0.13935
23,14.45594,0.99732,13.52244,30.21597,225.70381,0.00425,0.00425,0.13351
24,16.43183,0.99664,15.41225,29.30029,224.83215,0.00533,0.00533,0.12811
25,18.58473,0.99583,17.47516,28.42096,224.00577,0.00659,0.00659,0.12312
26,20.92241,0.99488,19.71896,27.57536,223.23209,0.00804,0.00803,0.11848
27,23.45258,0.99377,22.1514,26.76112,222.4968,0.0097,0.00969,0.11416
28,26.18292,0.9925,24.78017,25.97612,221.78516,0.01156,0.01155,0.11013
29,29.12101,0.99105,27.61291,25.21844,221.0882,0.01363,0.01362,0.10635
30,32.27438,0.98941,30.65718,24.48636,220.40758,0.01591,0.0159,0.10281
31,35.65047,0.98758,33.92044,23.7783,219.75052,0.01841,0.0184,0.09949
32,39.25663,0.98555,37.41012,23.09284,219.116,0.02113,0.02111,0.09636
33,43.10014,0.9833,41.13353,22.42866,218.50351,0.02409,0.02407,0.09341
34,47.18817,0.98082,45.09786,21.78458,217.91159,0.02728,0.02726,0.09062
35,51.52779,0.97812,49.31027,21.1595,217.36557,0.03073,0.0307,0.08798
36,56.12595,0.97517,53.77776,20.55241,216.90735,0.03448,0.03445,0.08548
37,60.98953,0.97196,58.50721,19.96238,216.69998,0.03861,0.03858,0.0831
38,66.12526,0.96848,63.50549,19.38854,216.7,0.04315,0.04311,0.08085
